open_ts,close_ts,hold_seconds,open_price,close_price,qty,direction,realized_pnl,implied_pnl
2026-06-24 04:19:42.275000+00:00,2026-06-24 04:19:42.697000+00:00,0.422,62589.093,62589.065,1.0,long,-0.03,-0.027999999998428393
2026-06-24 04:19:46.764000+00:00,2026-06-24 04:19:53.415000+00:00,6.651,62589.851,62589.276,1.0,long,0.08,-0.5750000000043656
2026-06-24 04:19:57.457000+00:00,2026-06-24 04:20:14.175000+00:00,16.718,62589.846,62595.523,1.0,long,-22.43,5.677000000003318
2026-06-24 04:20:17.404000+00:00,2026-06-24 04:20:21.454000+00:00,4.05,62596.736,62585.05,1.0,short,11.69,11.685999999994237
2026-06-24 04:20:26.695000+00:00,2026-06-24 04:20:30.745000+00:00,4.05,62582.514,62580.198,1.0,long,-2.32,-2.31600000000617
2026-06-24 04:20:35.396000+00:00,2026-06-24 04:20:56.444000+00:00,21.048,62578.618,62560.164,1.0,long,-0.04,-18.45400000000518
2026-06-24 04:21:01.645000+00:00,2026-06-24 04:21:02.125000+00:00,0.48,62560.352,62560.82,1.0,short,-0.65,-0.4680000000007567
2026-06-24 04:21:06.195000+00:00,2026-06-24 04:21:11.634000+00:00,5.439,62565.827,62564.67,1.0,short,0.11,1.1569999999992433
2026-06-24 04:21:15.865000+00:00,2026-06-24 04:21:17.113000+00:00,1.248,62561.098,62561.146,1.0,long,-0.05,0.04800000000250293
2026-06-24 04:21:21.153000+00:00,2026-06-24 04:21:24.994000+00:00,3.841,62560.775,62563.004,1.0,long,0.12,2.2289999999993597
2026-06-24 04:21:25.225000+00:00,2026-06-24 04:21:29.274000+00:00,4.049,62562.284,62562.322,1.0,long,-3.4,0.03800000000046566
2026-06-24 04:21:32.905000+00:00,2026-06-24 04:21:35.957000+00:00,3.052,62563.421,62563.696,1.0,short,-0.28,-0.2750000000014552
2026-06-24 04:21:38.225000+00:00,2026-06-24 04:21:42.245000+00:00,4.02,62563.804,62562.583,1.0,short,2.91,1.22099999999773
2026-06-24 04:21:42.475000+00:00,2026-06-24 04:21:46.526000+00:00,4.051,62562.583,62562.439,1.0,short,0.14,0.14400000000023283
2026-06-24 04:21:50.954000+00:00,2026-06-24 04:22:01.286000+00:00,10.332,62555.878,62538.045,1.0,long,-1.63,-17.83299999999872
2026-06-24 04:22:05.375000+00:00,2026-06-24 04:22:09.615000+00:00,4.24,62534.919,62536.543,1.0,long,1.8,1.6239999999961583
2026-06-24 04:22:14.045000+00:00,2026-06-24 04:22:31.125000+00:00,17.08,62535.176,62551.424,1.0,long,4.72,16.247999999999593
2026-06-24 04:22:32.165000+00:00,2026-06-24 04:22:34.605000+00:00,2.44,62551.401,62550.459,1.0,long,-0.94,-0.9419999999954598
2026-06-24 04:22:38.665000+00:00,2026-06-24 04:22:40.134000+00:00,1.4689999999999999,62547.703,62548.892,1.0,long,1.96,1.1889999999984866
2026-06-24 04:22:43.785000+00:00,2026-06-24 04:22:47.845000+00:00,4.06,62555.767,62556.428,1.0,long,-3.87,0.6610000000000582
2026-06-24 04:22:51.865000+00:00,2026-06-24 04:22:55.906000+00:00,4.041,62556.429,62583.979,1.0,short,-27.55,-27.55000000000291
2026-06-24 04:23:04.974000+00:00,2026-06-24 04:23:11.923000+00:00,6.949,62585.098,62547.858,1.0,long,-7.81,-37.23999999999796
2026-06-24 04:23:15.944000+00:00,2026-06-24 04:23:24.062000+00:00,8.118,62538.828,62526.956,1.0,long,-3.84,-11.872000000003027
2026-06-24 04:23:28.123000+00:00,2026-06-24 04:23:50.893000+00:00,22.77,62525.164,62515.982,1.0,long,-2.16,-9.181999999993423
2026-06-24 04:23:51.122000+00:00,2026-06-24 04:23:54.166000+00:00,3.044,62515.962,62513.906,1.0,long,-4.93,-2.055999999996857
2026-06-24 04:23:58.283000+00:00,2026-06-24 04:23:58.644000+00:00,0.361,62509.917,62510.667,1.0,long,0.1,0.75
2026-06-24 04:24:02.765000+00:00,2026-06-24 04:24:08.843000+00:00,6.078,62511.109,62514.079,1.0,long,0.82,2.970000000001164
2026-06-24 04:24:16.894000+00:00,2026-06-24 04:24:20.945000+00:00,4.051,62510.726,62512.188,1.0,long,1.46,1.4619999999995343
2026-06-24 04:24:29.785000+00:00,2026-06-24 04:24:46.913000+00:00,17.128,62510.135,62505.77,1.0,long,-3.21,-4.365000000005239
2026-06-24 04:24:50.938000+00:00,2026-06-24 04:25:02.565000+00:00,11.627,62498.789,62480.339,1.0,long,-1.83,-18.44999999999709
