,equity
2026-06-24 05:54:11+00:00,1005000.7500000774
2026-06-24 05:54:16+00:00,1005000.7600000774
2026-06-24 05:54:21+00:00,1005000.7600000774
2026-06-24 05:54:26+00:00,1005000.7700000774
2026-06-24 05:54:31+00:00,1005000.7700000774
2026-06-24 05:54:36+00:00,1005000.7600000774
2026-06-24 05:54:41+00:00,1005000.7500000774
2026-06-24 05:54:46+00:00,1005000.7500000774
2026-06-24 05:54:51+00:00,1005000.7600000774
2026-06-24 05:54:56+00:00,1005000.7700000774
2026-06-24 05:55:01+00:00,1005000.7700000774
2026-06-24 05:55:06+00:00,1005000.7700000774
2026-06-24 05:55:11+00:00,1005000.7700000774
2026-06-24 05:55:16+00:00,1005000.7700000774
2026-06-24 05:55:21+00:00,1005000.7700000774
2026-06-24 05:55:26+00:00,1005000.7700000774
2026-06-24 05:55:31+00:00,1005000.7600000774
2026-06-24 05:55:36+00:00,1005000.7600000774
2026-06-24 05:55:41+00:00,1005000.7500000774
2026-06-24 05:55:46+00:00,1005000.7500000774
2026-06-24 05:55:51+00:00,1005000.7500000774
2026-06-24 05:55:56+00:00,1005000.7500000774
2026-06-24 05:56:01+00:00,1005000.7500000774
2026-06-24 05:56:06+00:00,1005000.7500000774
2026-06-24 05:56:11+00:00,1005000.7500000774
2026-06-24 05:56:16+00:00,1005000.7600000774
2026-06-24 05:56:21+00:00,1005000.7600000774
2026-06-24 05:56:26+00:00,1005000.7600000774
2026-06-24 05:56:31+00:00,1005000.7500000774
2026-06-24 05:56:36+00:00,1005000.7400000774
2026-06-24 05:56:41+00:00,1005002.2800000774
2026-06-24 05:56:43+00:00,1005001.0800000775
2026-06-24 05:56:48+00:00,1005001.0900000775
2026-06-24 05:56:53+00:00,1005001.0800000775
2026-06-24 05:56:58+00:00,1004999.8800000775
2026-06-24 05:57:03+00:00,1004999.9000000776
2026-06-24 05:57:08+00:00,1004998.7000000776
2026-06-24 05:57:13+00:00,1004998.7000000776
2026-06-24 05:57:18+00:00,1004997.5000000776
2026-06-24 05:57:23+00:00,1004997.5000000776
2026-06-24 05:57:28+00:00,1004997.5000000776
2026-06-24 05:57:33+00:00,1004997.4900000776
2026-06-24 05:57:38+00:00,1004997.5000000776
2026-06-24 05:57:43+00:00,1004997.5100000777
2026-06-24 05:57:48+00:00,1004997.5200000777
2026-06-24 05:57:53+00:00,1004997.5300000777
2026-06-24 05:57:58+00:00,1004997.5300000777
2026-06-24 05:58:03+00:00,1004997.5200000777
